index,Players,Year,Matches,Runs,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
1918,Dwayne Smith,2009,8,215,26.87,49,162.87,0,0,12,15
1919,Graeme Smith,2009,12,212,19.27,77,98.14,1,1,27,1
1920,Irfan Pathan,2009,14,196,19.60,39,124.05,2,0,17,6
1921,Abhishek Nayar,2009,13,193,21.44,35,126.97,2,0,14,7
1922,Sourav Ganguly,2009,13,189,17.18,46,91.30,0,0,13,6
1923,Subramaniam Badrinath,2009,14,177,19.66,59*,107.92,2,1,20,4
1924,Robin Uthappa,2009,15,175,15.90,66*,102.94,2,1,18,3
1925,Chris Gayle,2009,7,171,28.50,44*,119.58,1,0,15,10
1926,Manish Pandey,2009,5,168,84.00,114*,142.37,2,0,17,4
1927,Naman Ojha,2009,8,168,24.00,68,116.66,1,2,11,11
1928,Mark Boucher,2009,12,150,30.00,48*,129.31,4,0,8,6
1929,Simon Katich,2009,9,145,16.11,50,123.93,0,1,15,6
1930,Ajinkya Rahane,2009,8,144,24.00,62*,117.07,1,2,12,3
1931,Parthiv Patel,2009,9,142,15.77,36,112.69,0,0,19,2
1932,Ravi Bopara,2009,5,138,27.60,84,115.96,0,1,8,7
1933,Karan Goel,2009,9,124,15.50,38,93.23,1,0,9,4
1934,Venugopal Rao,2009,16,124,11.27,32,108.77,2,0,6,3
1935,Roelof van der Merwe,2009,10,122,15.25,35,124.48,0,0,8,8
1936,Sunny Sohal,2009,8,115,14.37,43,123.65,0,0,9,8
1937,Shane Warne,2009,13,108,13.50,34*,93.10,3,0,6,4
1938,Rob Quiney,2009,7,103,14.71,51,100.98,0,1,12,3
1939,David Hussey,2009,4,98,24.50,43,166.10,0,0,7,6
1940,Swapnil Asnodkar,2009,8,98,12.25,44,105.37,0,0,11,4
1941,Albie Morkel,2009,12,97,24.25,21*,138.57,6,0,8,4
1942,Kevin Pietersen,2009,6,93,15.50,37,109.41,0,0,8,2
1943,Jacob Oram,2009,11,88,14.66,41*,94.62,2,0,5,4
1944,Harbhajan Singh,2009,13,84,10.50,20,158.49,2,0,6,5
1945,Laxmi Ratan Shukla,2009,9,83,16.60,48*,97.64,1,0,5,3
1946,Lee Carseldine,2009,5,81,20.25,39,119.11,1,0,11,0
1947,Abhishek Raut,2009,9,78,19.50,36*,127.86,3,0,5,3
1948,Wriddhiman Saha,2009,8,72,24.00,25*,175.60,4,0,3,4
1949,Azhar Bilakhia,2009,6,67,16.75,22,82.71,2,0,5,0
1950,Ajit Agarkar,2009,11,66,33.00,39,115.78,5,0,3,3
1951,Dwaraka Ravi Teja,2009,9,65,21.66,27,92.85,3,0,7,0
1952,Praveen Kumar,2009,13,65,13.00,14*,141.30,3,0,1,6
1953,Andrew Flintoff,2009,3,62,31.00,24,116.98,1,0,5,2
1954,Murali Vijay,2009,4,60,15.00,31,89.55,0,0,4,2
1955,Jesse Ryder,2009,5,56,11.20,32,114.28,0,0,9,0
1956,Shreevats Goswami,2009,2,53,26.50,43,88.33,0,0,6,0
1957,Pinal Shah,2009,9,53,17.66,29,103.92,2,0,4,2
1958,Johan Botha,2009,3,47,23.50,37,117.50,1,0,5,0
1959,Yashpal Singh,2009,8,47,11.75,20,71.21,0,0,5,0
1960,Vinay Kumar,2009,11,47,9.40,12,106.81,3,0,4,1
1961,George Bailey,2009,3,45,22.50,30,115.38,0,0,7,0
1962,Luke Pomersbach,2009,4,41,10.25,26,83.67,0,0,3,1
1963,Shikhar Dhawan,2009,5,40,10.00,22,88.88,0,0,3,0
1964,Dimitri Mascarenhas,2009,5,39,9.75,27,100.00,0,0,4,0
1965,Moises Henriques,2009,4,38,19.00,30*,95.00,1,0,2,1
1966,Munaf Patel,2009,11,33,11.00,23*,126.92,2,0,5,0
1967,Piyush Chawla,2009,14,31,6.20,8*,86.11,5,0,3,0
1968,Chaminda Vaas,2009,2,30,30.00,20,142.85,1,0,1,1
1969,Wilkin Mota,2009,8,30,6.00,12,62.50,1,0,0,0
1970,Brett Lee,2009,5,28,14.00,14*,82.35,2,0,2,1
1971,Amit Mishra,2009,11,26,8.66,13*,130.00,2,0,2,2
1972,Ramesh Powar,2009,9,23,23.00,10,104.54,3,0,2,0
1973,Ryan Harris,2009,8,21,21.00,9*,116.66,4,0,0,0
1974,Murali Kartik,2009,10,21,0.00,11*,105.00,2,0,0,0
1975,Joginder Sharma,2009,4,20,20.00,16*,111.11,1,0,0,1
1976,Shadab Jakati,2009,9,20,20.00,13,133.33,1,0,3,0
1977,Rajesh Bishnoi,2009,3,19,6.33,18,111.76,0,0,1,2
1978,VVS Laxman,2009,5,19,3.80,10,57.57,0,0,1,1
1979,Niraj Patel,2009,4,18,9.00,14,47.36,0,0,1,0
1980,Balachandra Akhil,2009,6,17,8.50,9,113.33,1,0,1,1
1981,Angelo Mathews,2009,1,16,16.00,16,123.07,0,0,2,0
1982,Mahesh Rawat,2009,5,16,0.00,8*,84.21,3,0,1,0
1983,Ishant Sharma,2009,11,16,8.00,9,123.07,1,0,1,1
1984,Anil Kumble,2009,16,16,16.00,7*,84.21,6,0,2,0
1985,Graham Napier,2009,1,15,15.00,15,93.75,0,0,1,0
1986,Wasim Jaffer,2009,2,15,7.50,8,88.23,0,0,2,0
1987,Scott Styris,2009,2,14,14.00,14,175.00,0,0,0,1
1988,Saurabh Tiwary,2009,4,13,13.00,6*,108.33,2,0,0,0
1989,Manpreet Gony,2009,7,13,6.50,7,185.71,1,0,0,2
1990,Rohan Raje,2009,4,12,12.00,11*,133.33,1,0,0,1
1991,Aakash Chopra,2009,2,11,11.00,11,57.89,0,0,2,0
1992,Tyron Henderson,2009,2,11,5.50,11,68.75,0,0,0,1
1993,Dillon du Preez,2009,2,10,10.00,10,76.92,0,0,0,0
1994,Shane Harwood,2009,3,9,0.00,6*,64.28,2,0,0,0
1995,Siddharth Trivedi,2009,7,9,4.50,6*,50.00,1,0,0,0
1996,Dhawal Kulkarni,2009,8,9,4.50,7*,52.94,2,0,0,0
1997,Morne Morkel,2009,2,8,8.00,8,100.00,0,0,1,0
1998,Ravichandran Ashwin,2009,2,8,8.00,8,53.33,0,0,1,0
1999,Zaheer Khan,2009,6,8,8.00,4*,72.72,3,0,0,0
2000,Muttiah Muralitharan,2009,13,8,4.00,4,100.00,2,0,1,0
2001,RP Singh,2009,16,8,2.00,4,47.05,2,0,0,0
2002,Arindam Ghosh,2009,2,7,3.50,7,87.50,0,0,1,0
2003,Siddharth Chitnis,2009,1,6,6.00,6,75.00,0,0,1,0
2004,Paul Valthaty,2009,2,6,3.00,5,50.00,0,0,1,0
2005,Shoaib Shaikh,2009,2,6,6.00,6,85.71,0,0,1,0
2006,Shanthakumaran Sreesanth,2009,7,5,0.00,4*,27.77,2,0,1,0
2007,Lakshmipathy Balaji,2009,13,4,1.33,2*,40.00,1,0,0,0
2008,Kamran Khan,2009,5,3,3.00,3,60.00,0,0,0,0
2009,Mashrafe Mortaza,2009,1,2,0.00,2*,100.00,1,0,0,0
2010,Mohammad Ashraful,2009,1,2,2.00,2,20.00,0,0,0,0
2011,Thilan Thushara,2009,2,2,2.00,1*,28.57,1,0,0,0
2012,Ashok Dinda,2009,9,2,1.00,2,66.66,0,0,0,0
2013,Taruwar Kohli,2009,2,1,1.00,1,25.00,1,0,0,0
2014,Pankaj Singh,2009,3,1,1.00,1*,50.00,1,0,0,0
2015,Amit Singh,2009,5,1,1.00,1*,33.33,1,0,0,0
2016,Shoaib Ahmed,2009,7,1,0.50,1*,16.66,1,0,0,0
2017,Pragyan Ojha,2009,15,1,0.33,1,14.28,1,0,0,0
2018,Luke Ronchi,2009,1,0,0.00,0*,0.00,0,0,0,0
2019,Tanmay Srivastava,2009,2,0,0.00,0*,0.00,1,0,0,0
2020,Chetanya Nanda,2009,3,0,0.00,0*,0.00,0,0,0,0
2021,Dale Steyn,2009,3,0,0.00,0*,0.00,1,0,0,0
2022,Ajantha Mendis,2009,4,0,0.00,0*,0.00,0,0,0,0
2023,KP Appanna,2009,5,0,0.00,0*,0.00,1,0,0,0
2024,Lasith Malinga,2009,13,0,0.00,0*,0.00,1,0,0,0
2025,Shaun Marsh,2008,11,616,68.44,115,139.68,2,5,59,26
2026,Gautam Gambhir,2008,14,534,41.07,86,140.89,1,5,68,8
2027,Sanath Jayasuriya,2008,14,518,43.16,114*,167.63,2,2,58,31
2028,Shane Watson,2008,15,472,47.20,76*,151.76,5,4,47,19
2029,Graeme Smith,2008,11,441,49.00,91,121.82,2,3,54,8
2030,Adam Gilchrist,2008,14,436,33.53,109*,137.10,1,3,51,19
2031,Yusuf Pathan,2008,16,435,31.07,68,179.01,1,4,43,25
2032,Suresh Raina,2008,16,421,38.27,55*,142.22,3,3,35,18
2033,MS Dhoni,2008,16,414,41.40,65,133.54,4,2,38,15
2034,Virender Sehwag,2008,14,406,33.83,94*,184.54,2,3,46,21
2035,Rohit Sharma,2008,13,404,36.72,76*,147.98,1,4,38,19
2036,Rahul Dravid,2008,14,371,28.53,75*,124.49,1,2,35,11
2037,Sourav Ganguly,2008,13,349,29.08,91,113.68,1,3,33,15
2038,Shikhar Dhawan,2008,14,340,37.77,68*,115.25,5,4,35,8
2039,Kumar Sangakkara,2008,10,320,35.55,94,161.61,0,4,41,8
2040,Robin Uthappa,2008,14,320,35.55,48,114.69,5,0,34,9
2041,David Hussey,2008,13,319,29.00,71,123.16,2,2,19,17
2042,Swapnil Asnodkar,2008,9,311,34.55,60,133.47,0,2,43,6
2043,Parthiv Patel,2008,13,302,27.45,54,101.68,2,2,42,3
2044,Yuvraj Singh,2008,15,299,23.00,57,162.50,1,1,24,19
2045,Venugopal Rao,2008,11,288,36.00,71*,137.14,2,2,22,15
2046,Albie Morkel,2008,13,241,34.42,71,147.85,3,1,18,14
2047,Mark Boucher,2008,10,225,32.14,50*,127.11,3,1,24,6
2048,James Hopes,2008,11,221,20.09,71,149.32,0,2,27,8
2049,Abhishek Nayar,2008,14,206,25.75,45*,149.27,2,0,16,9
2050,Jacques Kallis,2008,11,199,18.09,54,108.74,0,1,23,4
2051,Stephen Fleming,2008,10,196,21.77,45,119.51,1,0,27,3
2052,Salman Butt,2008,7,193,27.57,73,119.87,0,1,30,2
2053,Subramaniam Badrinath,2008,16,192,32.00,64,147.69,5,2,21,8
2054,Matthew Hayden,2008,4,189,63.00,81,144.27,1,2,24,6
2055,Brendon McCullum,2008,4,188,62.66,158*,204.34,1,0,13,15
2056,Sachin Tendulkar,2008,7,188,31.33,65,106.21,1,1,26,2
2057,Mahela Jayawardena,2008,13,179,25.57,45*,136.64,5,0,15,7
2058,Dwayne Bravo,2008,9,178,29.66,64*,132.83,1,1,19,5
2059,Mohammad Kaif,2008,16,176,16.00,34*,102.92,3,0,14,6
2060,Michael Hussey,2008,4,168,84.00,116*,168.00,1,0,12,11
2061,Herschelle Gibbs,2008,9,167,18.55,47,109.15,0,0,17,8
2062,Virat Kohli,2008,13,165,15.00,38,105.09,1,0,18,4
2063,Laxmi Ratan Shukla,2008,13,163,20.37,42,133.60,4,0,17,5
2064,Andrew Symonds,2008,4,161,80.50,117*,153.33,1,0,15,9
2065,Wriddhiman Saha,2008,12,159,31.80,59*,133.61,5,1,12,7
2066,VVS Laxman,2008,6,155,31.00,52,117.42,1,1,22,1
2067,Luke Pomersbach,2008,5,152,152.00,79*,153.53,4,1,13,9
2068,Ross Taylor,2008,4,149,37.25,53,183.95,0,1,13,10
2069,Shaun Pollock,2008,13,147,18.37,33,132.43,0,0,12,8
2070,Vidyut Sivaramakrishnan,2008,9,145,18.12,54,133.02,0,1,21,3
2071,Dinesh Karthik,2008,13,145,24.16,56*,135.51,2,1,13,4
2072,Ravindra Jadeja,2008,14,135,19.28,36*,131.06,2,0,11,6
2073,Irfan Pathan,2008,14,131,21.83,40,112.93,4,0,9,6
2074,Kamran Akmal,2008,6,128,25.60,53*,164.10,1,1,13,8
2075,MF Maharoof,2008,10,125,20.83,39,158.22,2,0,10,7
2076,Misbah-ul-Haq,2008,8,117,16.71,47*,144.44,1,0,10,6
2077,Wasim Jaffer,2008,6,115,19.16,50,110.57,0,1,12,3
2078,Cameron White,2008,8,114,16.28,31*,111.76,1,0,8,4
2079,Scott Styris,2008,8,112,18.66,36*,91.05,2,0,9,2
2080,Praveen Kumar,2008,13,112,11.20,34,114.28,2,0,10,6
2081,Dwaraka Ravi Teja,2008,7,109,18.16,40,132.92,0,0,10,5
2082,Tillakaratne Dilshan,2008,7,104,17.33,33,131.64,1,0,14,3
2083,Manoj Tiwary,2008,9,104,26.00,39,122.35,3,0,16,0
2084,Niraj Patel,2008,5,103,51.50,57,127.16,2,1,13,1
2085,Debabrata Das,2008,6,103,17.16,31,109.57,0,0,9,5
2086,Simon Katich,2008,2,96,96.00,75,139.13,1,1,11,2
2087,AB de Villiers,2008,6,95,19.00,26*,96.93,1,0,5,1
2088,Piyush Chawla,2008,15,90,22.50,24*,152.54,3,0,10,3
2089,Shreevats Goswami,2008,4,82,27.33,52,96.47,0,1,9,1
2090,Shahid Afridi,2008,10,81,10.12,33,176.08,1,0,7,6
2091,Karan Goel,2008,7,76,12.66,26,97.43,0,0,7,4
2092,Ramnaresh Sarwan,2008,4,73,18.25,31,97.33,0,0,6,1
2093,Shane Warne,2008,15,70,14.00,22*,118.64,2,0,7,2
2094,Ajit Agarkar,2008,9,54,10.80,20,117.39,1,0,5,2
2095,Shoaib Malik,2008,7,52,13.00,24,110.63,1,0,5,0
2096,Arjun Yadav,2008,8,49,9.80,16,125.64,1,0,5,2
2097,Sanjay Bangar,2008,11,47,7.83,17*,95.91,1,0,1,3
2098,Balachandra Akhil,2008,7,46,15.33,27*,148.38,4,0,4,3
2099,Dwayne Smith,2008,4,45,15.00,20,112.50,0,0,5,1
2100,Aakash Chopra,2008,5,42,8.40,24,80.76,0,0,5,0
2101,LPC Silva,2008,3,40,20.00,23*,153.84,1,0,5,1
2102,Ricky Ponting,2008,4,39,9.75,20,73.58,0,0,2,1
2103,Dominic Thornely,2008,6,39,19.50,30,73.58,2,0,2,2
2104,Umar Gul,2008,6,39,13.00,24,205.26,1,0,1,5
2105,Amit Mishra,2008,6,37,12.33,31,88.09,0,0,3,0
2106,Sohail Tanvir,2008,11,36,12.00,13,124.13,2,0,3,1
2107,Manpreet Gony,2008,16,35,35.00,15*,152.17,4,0,2,3
2108,Luke Ronchi,2008,4,34,8.50,13,106.25,0,0,6,1
2109,Pinal Shah,2008,5,34,8.50,19,97.14,0,0,4,0
2110,Rajat Bhatia,2008,9,34,17.00,17,121.42,1,0,2,2
2111,Mahesh Rawat,2008,11,34,8.50,23*,87.17,3,0,3,1
2112,Zaheer Khan,2008,11,34,8.50,17*,79.06,4,0,4,0
2113,Dinesh Salunkhe,2008,6,33,16.50,26*,137.50,1,0,5,0
2114,Tatenda Taibu,2008,3,31,10.33,15,119.23,0,0,3,0
2115,Harbhajan Singh,2008,3,30,15.00,28,176.47,1,0,1,3
2116,Murali Kartik,2008,6,30,10.00,17,111.11,0,0,3,0
2117,Ramesh Powar,2008,5,28,0.00,28*,133.33,1,0,4,1
2118,RP Singh,2008,14,27,6.75,10,112.50,5,0,2,1
2119,Saurabh Tiwary,2008,3,26,13.00,17,130.00,0,0,3,1
2120,Wilkin Mota,2008,4,26,26.00,25,96.29,1,0,2,0
2121,Shivnarine Chanderpaul,2008,3,25,8.33,16,80.64,0,0,4,0
2122,Vinay Kumar,2008,8,25,8.33,23,113.63,1,0,2,1
2123,Musavir Khote,2008,4,24,12.00,9,109.09,1,0,2,1
2124,Jagadeesh Arunkumar,2008,3,23,7.66,22,100.00,0,0,5,0
2125,Chaminda Vaas,2008,5,21,7.00,12*,116.66,1,0,0,1
2126,Bharat Chipli,2008,3,20,6.66,10,71.42,0,0,3,0
2127,Mohammad Hafeez,2008,8,20,10.00,13,90.90,1,0,2,1
2128,Darren Lehmann,2008,2,18,9.00,17,100.00,0,0,3,0
2129,Siddharth Chitnis,2008,3,18,9.00,15,180.00,0,0,1,1
2130,Jacob Oram,2008,4,18,18.00,13,150.00,2,0,1,1
2131,Brett Lee,2008,4,17,17.00,16*,130.76,2,0,2,1
2132,Chamara Kapugedera,2008,5,16,5.33,8,69.56,0,0,0,0
2133,Joginder Sharma,2008,8,16,8.00,16,145.45,1,0,1,1
2134,Yo Mahesh,2008,11,15,7.50,6*,55.55,3,0,0,0
2135,Devraj Patil,2008,2,13,6.50,9,100.00,0,0,1,0
2136,Anil Kumble,2008,10,13,6.50,8,76.47,3,0,1,0
2137,Brad Hodge,2008,3,12,4.00,10,70.58,0,0,2,0
2138,Nuwan Zoysa,2008,3,11,11.00,10*,122.22,1,0,1,0
2139,Makhaya Ntini,2008,9,11,11.00,11,61.11,1,0,2,0
2140,Ishant Sharma,2008,13,11,11.00,4*,100.00,5,0,1,0
2141,Taruwar Kohli,2008,2,10,5.00,7,66.66,0,0,0,1
2142,Ashley Noffke,2008,1,9,9.00,9,90.00,0,0,1,0
2143,Dimitri Mascarenhas,2008,1,9,9.00,9,112.50,0,0,0,1
2144,Tanmay Srivastava,2008,5,8,8.00,7,80.00,1,0,0,0
2145,Rohan Raje,2008,6,8,0.00,6*,88.88,3,0,1,0
2146,Sunil Joshi,2008,4,6,3.00,3,42.85,0,0,0,0
2147,Pankaj Singh,2008,5,5,0.00,4*,62.50,2,0,0,0
2148,Siddharth Trivedi,2008,15,5,5.00,3*,41.66,2,0,0,0
2149,Ajinkya Rahane,2008,2,4,2.00,4,23.52,0,0,1,0
2150,Sunny Sohal,2008,2,4,2.00,4,50.00,0,0,0,0
2151,Vikram Singh,2008,13,4,2.00,4,133.33,0,0,1,0
2152,Glenn McGrath,2008,14,4,4.00,4*,80.00,2,0,1,0
2153,Younis Khan,2008,1,3,3.00,3,42.85,0,0,0,0
2154,Doddapaneni Kalyankrishna,2008,3,3,3.00,3,37.50,0,0,0,0
2155,Manish Pandey,2008,3,3,1.50,3,33.33,0,0,0,0
2156,Mohammad Asif,2008,8,3,1.50,3,50.00,0,0,0,0
2157,Ashish Nehra,2008,14,3,3.00,2*,23.07,3,0,0,0
2158,Halhadar Das,2008,1,2,2.00,2,40.00,0,0,0,0
2159,Vikrant Yeligati,2008,2,2,2.00,2,100.00,0,0,0,0
2160,Shoaib Akhtar,2008,3,2,2.00,2,28.57,0,0,0,0
2161,Dilhara Fernando,2008,5,2,0.00,2*,200.00,1,0,0,0
2162,Pradeep Sangwan,2008,7,2,1.00,2,40.00,0,0,0,0
2163,Dale Steyn,2008,10,2,2.00,1*,40.00,1,0,0,0
2164,Dhawal Kulkarni,2008,10,2,0.00,2*,12.50,1,0,0,0
2165,Ashok Dinda,2008,13,2,2.00,1*,50.00,2,0,0,0
2166,Pragyan Ojha,2008,13,2,1.00,1*,50.00,2,0,0,0
2167,Iqbal Abdulla,2008,1,1,0.00,1*,50.00,1,0,0,0
2168,Srikkanth Anirudha,2008,1,1,1.00,1,14.28,0,0,0,0
2169,PM Sarvesh Kumar,2008,2,1,0.00,1*,50.00,1,0,0,0
2170,Paidikalva Vijaykumar,2008,9,1,0.00,1*,100.00,2,0,0,0
2171,Abdur Razzak,2008,1,0,0.00,0*,0.00,1,0,0,0
2172,Abhinav Mukund,2008,2,0,0.00,0*,0.00,0,0,0,0
2173,Lakshmipathy Balaji,2008,9,0,0.00,0*,0.00,0,0,0,0
2174,Munaf Patel,2008,15,0,0.00,0*,0.00,2,0,0,0
